,place_name,frequency
6,America,37
3,Hawaii,30
21,California,14
9,U.S.A.,15
23,New York City,6


27,Honolulu,4

51,Salt Lake City,3
44,L.A.,8


20,South Bay,2
24,Detroit,2

41,Rome,2

50,Salt Lake,2

40,Europe,1
54,Midwest,1



56,The West Coast,1

53,East Coast,1
49,Utah,1
45,New York,1


47,Salisbury Parks,1
48,Euclid Beach,1
0,Malibu,1
31,Hawthorne California,1
39,Paris,1
15,La Jolla,1
2,Doheny Beach,1
4,Peru,1
8,Del Mar,1
10,Ventura County,1
11,Santa Cruz,1
12,Australia,1
13,Manhattan Beach,1
14,San Onofre CA,1
16,Waimea Bay,1


22,Chicago,1
25,Miami,1
26,Alabama,1

29,Jamaica,1

1,Laguna Beach,1

