,place_name,frequency
3,Hawaii,44
6,America,38
21,California,23
32,Santa,20
9,U.S.A.,11
63,Heroes,11
84,thou,9
64,Plymouth Rock,7
29,Jamaica,6
23,New York City,6
27,Honolulu,5
125,Bahama,5
126,Key Largo,5
61,Caroline,4
124,Aruba,4
37,Denny,4
7,U.S.A,4
33,Santa Claus,4
42,La,3
57,Dit,3
51,Salt Lake City,3
39,Paris,3
34,Santa's,3
98,Cincinnati,3
77,Louisiana,3
121,Santa Ana,3
78,Texarkana,3
44,L.A.,3
41,Rome,2
40,Europe,2
0,Malibu,2
116,Sumahama,2
114,Japan,2
105,Kona,2
66,Mahala,2
96,Night,2
89,Monterey,2
50,Salt Lake,2
43,L.A,2
35,Santa (Not Santa,2
24,Detroit,2
20,South Bay,2
19,Oooo,2
18,Revving,2
119,Truth,1
95,Tokyo,1
103,Mars,1
102,Goooooood,1
101,Vegas,1
100,Mona,1
99,Ohio,1
133,Texas,1
97,Bubbles,1
134,Santa Barbara,1
136,South bay,1
94,Los Ang-ees,1
135,Venus,1
104,Airplane,1
93,Great Britain-yee,1
92,Amsterdam,1
91,south coast,1
90,Morro Bay,1
137,Santa Monica,1
138,Pacific,1
132,Dallas,1
129,Kokomo,1
131,california,1
130,america,1
122,Just West Coast,1
87,Crimson,1
123,Frisco Bay,1
118,Mexico,1
117,Florida,1
115,Earth,1
113,Sound,1
112,the green canyon,1
111,San Michelle,1
110,France,1
109,Hanalai,1
127,"Kokomo

Aruba",1
108,south sea,1
107,Lahaina,1
106,Pacific Ocean,1
128,Prince,1
120,Southern California,1
88,Ventana Creek,1
70,Sherrie,1
86,Bridged,1
49,Utah,1
47,Salisbury,1
46,USA,1
45,New York,1
38,Ahhhhhh,1
36,Orient,1
31,Hawthorne California,1
30,Lean,1
28,loveYou,1
26,Alabama,1
25,Miami,1
22,Chicago,1
17,Sea,1
16,Wa'imea Bay,1
15,La Jolla,1
14,San Onofre,1
13,Manhattan,1
12,Australia,1
11,Santa Cruz,1
10,Ventura County,1
8,Del Mar,1
5,Nicky,1
4,Peru,1
2,Doheny,1
48,Euclid Beach,1
52,Lagoon,1
85,Krishna,1
53,East Coast,1
83,South,1
82,the L. A. County Sheriff,1
81,Trail,1
80,Break,1
79,"field1

Break",1
76,Seagulls,1
75,Parks,1
74,Korthoff,1
73,Little Rock,1
72,Oooooh,1
71,Aweigh,1
1,Laguna,1
69,Abash,1
68,Eggs,1
67,East,1
65,"Hawaii
Rock",1
62,noYou,1
60,Rocky,1
59,offa,1
58,Dooo,1
56,The West Coast,1
55,Northern,1
54,Midwest,1
139,Pacific Coast,1
