,place_name,frequency
6,America,37
3,Hawaii,30
32,Santa,20
21,California,14
9,U.S.A.,11
23,New York City,6
33,Santa Claus,4
27,Honolulu,4
37,Denny,4
34,Santa's,3
7,U.S.A,3
42,La,3
44,L.A.,3
51,Salt Lake City,3
35,Santa (Not Santa,2
20,South Bay,2
41,Rome,2
43,L.A,2
24,Detroit,2
19,Oooo,2
57,Dit,2
50,Salt Lake,2
18,Revving,2
39,Paris,1
54,Midwest,1
40,Europe,1
59,offa,1
58,Dooo,1
56,The West Coast,1
55,Northern,1
53,East Coast,1
52,Lagoon,1
45,New York,1
46,USA,1
49,Utah,1
48,Euclid Beach,1
47,Salisbury,1
0,Malibu,1
30,Lean,1
38,Ahhhhhh,1
36,Orient,1
2,Doheny,1
4,Peru,1
5,Nicky,1
8,Del Mar,1
10,Ventura County,1
11,Santa Cruz,1
12,Australia,1
13,Manhattan,1
14,San Onofre,1
15,La Jolla,1
16,Wa'imea Bay,1
17,Sea,1
22,Chicago,1
25,Miami,1
26,Alabama,1
28,loveYou,1
29,Jamaica,1
1,Laguna,1
31,Hawthorne California,1
60,Rocky,1
