,Unnamed: 0,place_name,frequency,Lat,Long
0,7,Delaware,18,38.6920451,-75.4013315
1,38,California,9,36.7014631,-118.755997
2,34,Mexico,9,23.6585116,-102.0077097
3,15,Chicago,5,41.8755616,-87.6244212
4,3,Derrida,4,48.8476554,2.327946662119325
5,4,Carolina,4,35.90503535,-79.04775326525107
6,63,Blinded,3,55.9401085,-3.2048932
7,44,Gloria,3,-9.3429057,-38.2552548
8,57,New Haven,2,41.3082138,-72.9250518
9,52,Tallahassee,2,30.4380832,-84.2809332
10,41,Quitting,2,,
11,28,Des Moines,2,41.5910323,-93.6046655
12,25,Tennessee,2,35.7730076,-86.2820081
13,24,Memphis,2,35.1335022,-89.9668758
14,17,Drowning,2,50.7866864,-84.9709944
15,0,Break,2,43.471748500000004,-80.5432932382
16,12,Texas,2,31.2638905,-98.5456116
17,16,Kitsurubami,1,,
18,61,Pagan,1,18.10703505,145.76694285944433
19,49,the Black Beach,1,42.578731399999995,-70.73013268473721
20,50,Therе,1,46.1709669,-0.2436202
21,51,Brooklyn,1,40.6526006,-73.9497211
22,6,Metropolitan,1,-22.9831448,-43.362847
23,53,Becasue,1,,
24,54,Stitching,1,5.587824250000001,-0.20590837263259104
25,55,New Jersey,1,40.0757384,-74.4041622
26,56,North Philly,1,39.9972609,-75.1552656
27,5,Missouri,1,38.7604815,-92.5617875
28,58,Porch,1,51.0379436,-114.078644
29,59,Denver,1,39.7392364,-104.984862
30,60,’s,1,47.7981346,13.0464806
31,62,Grand Isle,1,44.706737,-73.3042618
32,47,Earth,1,34.2331373,-102.4107493
33,2,Milwaukee,1,43.0349931,-87.922497
34,64,vermont,1,44.5990718,-72.5002608
35,65,japan,1,36.5748441,139.2394179
36,66,Raritan,1,40.6958732,-90.8273591
37,67,Canada,1,61.0666922,-107.991707
38,68,Montreal,1,45.5031824,-73.5698065
39,69,Accidental,1,28.2312971,82.124742
40,70,Disarm,1,46.92864895,-96.81385767920591
41,71,Wearing,1,52.3001058,-127.7614316
42,72,Cliche,1,49.2899571,5.2905595
43,73,Megabus,1,4.8144286,-75.6993174
44,74,west coast,1,-42.5638896,171.45233400435404
45,48,America,1,39.7837304,-100.445882
46,46,Sky,1,53.4198891,-7.9332454
47,14,the Spotless Mind,1,,
48,31,Truth,1,35.7648205,139.8479074
49,18,Southwest,1,5.0577606,9.2289407
50,19,Avocado,1,36.789394,-119.404015
51,20,St. Paul,1,44.9497487,-93.0931028
52,21,ER,1,52.865196,-7.9794599
53,22,"Samantha
Hey",1,,
54,23,boston,1,42.3554334,-71.060511
55,13,Hardware City,1,7.1941216,125.6477464
56,26,Shivering,1,67.879052,-153.6980942
57,27,Detroit,1,42.3315509,-83.0466403
58,11,Florida,1,27.7567667,-81.4639835
59,29,Somewhere City,1,40.6867709,-111.4781316
60,30,Somewhere City's,1,,
61,32,Admittance,1,,
62,45,East,1,12.2527495,0.8736106
63,33,还有人在操纵,1,,
64,10,Headington,1,51.7601978,-1.2109908
65,35,El Camino,1,40.2908992,-3.7975894
66,36,San Diego,1,32.7174202,-117.1627728
67,37,Mission Beach,1,53.0807581,-114.132851
68,1,I​,1,47.2654296,11.3927685
69,39,Europe,1,51.0,10.0
70,40,Portland,1,45.5202471,-122.674194
71,9,the North MigrationYou,1,,
72,42,Slovak,1,48.7411522,19.4528646
73,43,East coast,1,-38.1532287,178.1367523749267
74,8,Cottage Grove,1,44.8277446,-92.9438218
75,75,Seattle,1,47.6038321,-122.330062
