id	title	title_source	start	end
0	Johannes	Karl-Heinz Quade Diary	1800	2000
1	ar	Karl-Heinz Quade Diary	1800	2000
2	Borowitschi	Karl-Heinz Quade Diary	1800	2000
3	Selenodolsk	Karl-Heinz Quade Diary	1800	2000
4	MINSK	Karl-Heinz Quade Diary	1800	2000
5	Tscherkassy	Karl-Heinz Quade Diary	1800	2000
6	Bor	Karl-Heinz Quade Diary	1800	2000
7	Jelschanka	Karl-Heinz Quade Diary	1800	2000
8	Nikolajew	Karl-Heinz Quade Diary	1800	2000
9	USA	Karl-Heinz Quade Diary	1800	2000
10	PENSA	Karl-Heinz Quade Diary	1800	2000
11	SIMFEROPOL	Karl-Heinz Quade Diary	1800	2000
12	MAKEJEWKA	Karl-Heinz Quade Diary	1800	2000
13	Kuibyschew	Karl-Heinz Quade Diary	1800	2000
14	Roslawl	Karl-Heinz Quade Diary	1800	2000
15	Tichorezk	Karl-Heinz Quade Diary	1800	2000
16	Lebedjan	Karl-Heinz Quade Diary	1800	2000
17	Suchumi	Karl-Heinz Quade Diary	1800	2000
18	Butyrka	Karl-Heinz Quade Diary	1800	2000
19	Ukraine	Karl-Heinz Quade Diary	1800	2000
20	Taganrog	Karl-Heinz Quade Diary	1800	2000
21	Georgien	Karl-Heinz Quade Diary	1800	2000
22	KURSK	Karl-Heinz Quade Diary	1800	2000
23	Kertsch	Karl-Heinz Quade Diary	1800	2000
24	Usbekistan	Karl-Heinz Quade Diary	1800	2000
25	Leningrad	Karl-Heinz Quade Diary	1800	2000
26	Uljanowsk	Karl-Heinz Quade Diary	1800	2000
27	Stalingrad	Karl-Heinz Quade Diary	1800	2000
28	SMOLENSK	Karl-Heinz Quade Diary	1800	2000
29	Kramatorsk	Karl-Heinz Quade Diary	1800	2000
30	Jar	Karl-Heinz Quade Diary	1800	2000
31	Kameschkowo	Karl-Heinz Quade Diary	1800	2000
32	Mosyr	Karl-Heinz Quade Diary	1800	2000
33	Jelabuga	Karl-Heinz Quade Diary	1800	2000
34	Karaganda	Karl-Heinz Quade Diary	1800	2000
35	Kasachstan	Karl-Heinz Quade Diary	1800	2000
36	Saransk	Karl-Heinz Quade Diary	1800	2000
37	Rjasan	Karl-Heinz Quade Diary	1800	2000
38	Wjasma	Karl-Heinz Quade Diary	1800	2000
39	CHARKOW	Karl-Heinz Quade Diary	1800	2000
40	Temnikow	Karl-Heinz Quade Diary	1800	2000
41	Moskau	Karl-Heinz Quade Diary	1800	2000
42	Merefa	Karl-Heinz Quade Diary	1800	2000
43	KALININ	Karl-Heinz Quade Diary	1800	2000
44	Stanislaw	Karl-Heinz Quade Diary	1800	2000
45	Kursk	Karl-Heinz Quade Diary	1800	2000
46	Gorki	Karl-Heinz Quade Diary	1800	2000
47	Pugatschow	Karl-Heinz Quade Diary	1800	2000
48	BRJANSK	Karl-Heinz Quade Diary	1800	2000
49	Kasan	Karl-Heinz Quade Diary	1800	2000
50	Winniza	Karl-Heinz Quade Diary	1800	2000
51	Gorodischtsche	Karl-Heinz Quade Diary	1800	2000
52	Sumy	Karl-Heinz Quade Diary	1800	2000
53	Krjukowo	Karl-Heinz Quade Diary	1800	2000
54	Nowotscherkassk	Karl-Heinz Quade Diary	1800	2000
55	Retschiza	Karl-Heinz Quade Diary	1800	2000
56	WITEBSK	Karl-Heinz Quade Diary	1800	2000
57	Lissitschansk	Karl-Heinz Quade Diary	1800	2000
58	Orjol	Karl-Heinz Quade Diary	1800	2000
59	Kupjansk	Karl-Heinz Quade Diary	1800	2000
60	Smolensk	Karl-Heinz Quade Diary	1800	2000
61	Tscheljabinsk	Karl-Heinz Quade Diary	1800	2000
